name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,DefArt,TxStr,Behavior,cycle,Speed,Offset
Player,0,0.5,0,1,1,1,0,0,0,,,,,,
Plane,-45,0,0,100,10,1,90,0,0,,,,,,
Plane,-45,5,5,100,10,1,0,0,0,,,,,,
Plane,5,5,0,10,10,1,0,90,0,,,,,,
Plane,-95,5,-5,200,10,1,0,180,0,,,,,,
Block,-2.5,0.5,-3.5,1,1,3,0,0,0,,,,,,
Block,-2.5,0.5,3.5,1,1,3,0,0,0,,,,,,
PoleArt,-3,0.01,1.5,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
PoleArt,-3,0.01,0.5,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
PoleArt,-3,0.01,-0.5,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
Block,-20,0.5,-3.5,1,1,3,0,0,0,,,,,,
Block,-20,0.5,3.5,1,1,3,0,0,0,,,,,,
PoleArt,-19.5,0.01,1.5,0.8,1,1.1,0,45,0,Left,PoleArt,,,,
PoleArt,-19.5,0.01,-0.5,0.8,1,1.1,0,45,0,Left,PoleArt,,,,
PoleArt,-19.5,0.01,0.5,0.8,1,1.1,0,45,0,Left,PoleArt,,,,
Block,-30,0.5,-2,1,1,6,0,0,0,,,,,,
PoleArt,-29.5,0.01,4,0.8,1,1.1,0,45,0,Left,PoleArt,,,,
PoleArt,-29.5,0.01,2,0.8,1,1.1,0,45,0,Left,PoleArt,,,,
PoleArt,-29.5,0.01,3,0.8,1,1.1,0,45,0,Left,PoleArt,,,,
Block,-50,0.5,2,1,1,6,0,0,0,,,,,,
PoleArt,-50.5,0.01,-3.5,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
PoleArt,-50.5,0.01,-1.5,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
PoleArt,-50.5,0.01,-2.5,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
Spikes,-60,0,-4.5,1.2,1.2,1.2,0,0,0,,,,,,
Spikes,-60,0,-3,1.2,1.2,1.2,0,0,0,,,,,,
Spikes,-60,0,4.5,1.2,1.2,1.2,0,0,0,,,,,,
Spikes,-60,0,3,1.2,1.2,1.2,0,0,0,,,,,,
Enemy,-70,0.5,0,1,1,1,0,0,0,,,SinCurve,1,4,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Plane,-95,-5,0,10,10,1,0,90,90,,,,,,
Plane,-120,-10,0,50,10,1,90,0,0,,,,,,
Plane,-100,0,0,10,20,1,0,0,0,,,,,,
Plane,-160,5,0,10,10,1,0,-90,0,,,,,,
