name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,DefArt,TxStr,Behavior,cycle,Speed,Offset
Player,5,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,
Plane,0,0,0,15,8,1,90,0,0,,,,,,
Plane,0,2.5,4,15,5,1,0,0,0,,,,,,
Plane,0,2.5,-4,15,5,1,180,0,0,,,,,,
Plane,7.5,2.5,0,8,5,1,0,90,0,,,,,,
Plane,-7.5,2.5,0,8,5,1,0,-90,0,,,,,,
,,,,,,,,,,,,,,,
Block,0,0.5,2.75,1,1,2.5,0,0,0,,,,,,
Block,0,0.5,-2.75,1,1,2.5,0,0,0,,,,,,
PoleArt,-0.5,0.01,1,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
PoleArt,-0.5,0.01,0,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
PoleArt,-0.5,0.01,0,0.8,1,1.1,0,-45,0,Right,PoleArt,,,,
,,,,,,,,,,,,,,,
Goal,-7.5,1,0.51,1,1,1,0,90,0,,,,,,
Goal,-7.5,1,-0.51,1,1,1,0,90,0,,,,,,
