name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ, ProjFlg, ArtFlg, DefArt, Behavior, cycle, Speed, Offset
Player,6,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,,
Plane,5.5,0,0,6,8,1,-270,0,0,TRUE,FALSE,,,,,
Plane,-13,0,0,4,8,1,-270,0,0,TRUE,FALSE,,,,,
Plane,-3.25,2.5,4,23.5,5,1,0,0,0,TRUE,FALSE,,,,,
Plane,5.5,2.5,-4,6,5,1,-180.0198,0,0,TRUE,FALSE,,,,,
Block,2.75,0.5,-9,10,1,0.5,0,90,0,FALSE,FALSE,None,,,,
Block,-4.25,0.5,-14.25,13.5,1,0.5,0,0,0,FALSE,FALSE,None,,,,
Block,-11.25,0.5,-9,10,1,0.5,0,90,0,FALSE,FALSE,None,,,,
Plane,8.5,2.5,0,8,5,1,0,90,0,FALSE,FALSE,,,,,
Plane,-15,2.5,0,8,5,1,0,270,0,FALSE,FALSE,,,,,
Block,-11,-2.01,0,8,4,0.01,0,270,0,TRUE,FALSE,None,FALSE,,,
Plane,-4.25,-2,4,13.5,4,1,0,0,0,TRUE,TRUE,,,,,
Plane,-4.25,-4,-4.5,13.5,18,1,-270,0,0,TRUE,TRUE,,,,,
FallingArea,-4.25,-4,-4.5,13.49,1,18,0,0,0,TRUE,,,,,,
RouteFloor,1.5,-0.25,-3,2,0.5,2,0,0,0,Right,3,,,,,
Block,-5,-1.5,3,1,5,2,0,0,0,FALSE,FALSE,None,,,,
Block,-5,-1.5,-3,1,5,2,0,0,0,FALSE,FALSE,None,,,,
Block,-3,-2,3,1,4,2,0,0,0,FALSE,TRUE,Left,,,,
Block,-3.5,-2.75,-4.5,2,2.5,1,0,0,0,TRUE,FALSE,None,,,,
Block,-4.99,-1.5,-6,1,5,2,0,0,0,TRUE,FALSE,None,,,,
Block,-6.25,-2,-4.5,1.5,4,1,0,0,0,TRUE,FALSE,None,,,,
Battery,-5.75,0.5,-4.5,1,1,1,0,-90,0,0.5,,,,,,
Block,-6.75,0.5,-4.5,0.5,1,1,0,0,0,FALSE,TRUE,Right,,,,
Block,-5,0.5,-4.5,1,1,1,0,0,0,FALSE,FALSE,None,,,,
RouteFloor,-6.5,-0.25,-13,2,0.5,2,0,0,0,Right,3,,,,,
Plane,2.5,-2.25,-9,10,4.5,1,0,90,0,FALSE,TRUE,,,,,
Plane,2.5,-2.25,-9,10,4.5,1,0,270,0,FALSE,TRUE,,,,,
Plane,-4.25,-2.25,-14.01,13.5,4.5,1,0,0,0,FALSE,TRUE,,,,,
Plane,-4.25,-2.25,-14.01,13.5,4.5,1,0,180,0,FALSE,TRUE,,,,,
Plane,-11,-2.25,-9,10,4.5,1,0,90,0,FALSE,TRUE,,,,,
Plane,-11,-2.25,-9,10,4.5,1,0,270,0,FALSE,TRUE,,,,,
Block,-5,-1.5,-13,1,5,2,0,0,0,FALSE,FALSE,None,,,,
Block,-5.249,-2,-9.5,0.5,4,5,0,0,0,TRUE,FALSE,None,,,,
Block,-4.75,-2,-9.5,0.5,4,5,0,0,0,FALSE,FALSE,None,,,,
Block,-7,-2,-13,1,4,2,0,0,0,FALSE,TRUE,Left,,,,
Block,-10.5,-2,3,1,4,2,0,0,0,FALSE,TRUE,Right,,,,
Spikes,-11.5,0,3.5,1,1,1,0,0,0,FALSE,TRUE,Right,,,,
Spikes,-11.5,0,2.5,1,1,1,0,0,0,FALSE,TRUE,Right,,,,
Block,1.49,-2,-8,2,4,1,0,0,0,FALSE,TRUE,Right,,,,
Goal,-15,0,0,0.5,0.5,0.5,0,90,0,,,,,,,
FallingArea,-2.962,-3.9,-10,3.575195,0.9999996,4.535375,0,0,0,FALSE,,,,,,
Block,-1.5,0.75,-4.5,2,0.5,1,0,0,0,FALSE,TRUE,Left,,,,
Block,-3.5,-0.25,-4.5,2,2.5,1,0,0,0,FALSE,FALSE,None,,,,
Block,2.505,-2.01,0,0.01,4,8,0,0,0,TRUE,FALSE,None,,,,
Block,2.52,-3,0,0.01,3,8,0,0,0,FALSE,FALSE,None,,,,
Block,-11.1,-2.5,-0.25,8,4,0.01,0,270,0,FALSE,FALSE,None,FALSE,,,
,,,,,,,,,,,,,,,,
VFloor,-5,0.01,-9.5,1,1,5,0,0,0,FALSE,,,,,,
