name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,ProjFlg,ArtFlg,DefArt,Behavior,cycle,Speed,Offset
Player,6,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,,
Plane,-12,-4,0,30,30,1,90,0,0,TRUE,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plane,6,2.5,4.5,5,5,1,0,0,0,,,,,,,
Plane,8.5,2.5,0,9,5,1,0,90,0,,,,,,,
Plane,6,2.5,-4.5,5,5,1,180,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Plane,3.5,2.5,10,11,5,1,0,90,0,,,,,,,
Plane,3.5,2.5,-10,11,5,1,0,90,0,,,,,,,
,,,,,,,,,,,,,,,,
Plane,-12,2.5,15.5,31,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Plane,-27.5,2.5,10,11,5,1,0,-90,0,TRUE,,,,,,
Plane,-27.5,2.5,-10,11,5,1,0,-90,0,,,,,,,
,,,,,,,,,,,,,,,,
Plane,-30,2.5,4.5,5,5,1,0,0,0,,,,,,,
Plane,-32.5,2.5,0,9,5,1,0,-90,0,,,,,,,
Plane,-30,2.5,-4.5,5,5,1,180,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Goal,-32.5,0,0,0.5,0.5,0.5,0,90,0,,,,,,,
//以下ブロックとか,,,,,,,,,,,,,,,,
RouteFloor,-5,-0.25,3,2,0.5,2,0,0,0,FALSE,FALSE,null,Up,,,
,,,,,,,,,,,,,,,,
Plane,5.5,0,0,6,9,1,90,0,0,,,,,,,
Block,3,-2.01,0,1,4,9,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-7,-1.5,-5,1,5,5,0,0,0,,,,,,,
Block,-5.5,-1.5,-5,2,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Block,-7,-1.5,5,1,5,5,0,0,0,,,,,,,
Block,-5.5,-1.5,5,2,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Block,1.5,-1.5,-5,2,5,1,0,0,0,,,,,,,
Block,1.5,-1.5,5,2,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,3,-1.5,-9.5,1,5,10,0,0,0,TRUE,,,,,,
Block,-12,-1.5,-15,31,5,1,0,0,0,,,,,,,
Block,3,-1.5,9.5,1,5,10,0,0,0,,,,,,,
Block,-12,-1.5,15,31,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-7,-1.5,-13.5,1,5,2,0,0,0,,,,,,,
Block,-7,-1.5,13.5,1,5,2,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-17,-1.5,-6,1,5,3,0,0,0,,,,,,,
Block,-15.5,-1.5,-5,2,5,1,0,0,0,,,,,,,
Block,-18.5,-1.5,-5,2,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-17,-1.5,5,1,5,5,0,0,0,,,,,,,
Block,-15.5,-1.5,5,2,5,1,0,0,0,,,,,,,
Block,-18.5,-1.5,5,2,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-24,-1.5,13.5,1,5,2,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-27,-1.5,-9.5,1,5,10,0,0,0,,,,,,,
Block,-25.5,-1.5,-5,2,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-27,-1.5,9.5,1,5,10,0,0,0,,,,,,,
Block,-25.5,-1.5,5,2,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Plane,-29.5,0,0,6,9,1,90,0,0,,,,,,,
Block,-27,-2.01,0,1,4,9,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
//以下トリックアート関係,,,,,,,,,,,,,,,,
Block,-2,-1.5,5,5,5,1,0,0,0,TRUE,FALSE,,,,,
,,,,,,,,,,,,,,,,
Block,-3.5,-2,3.5,1,4,2,0,0,0,FALSE,TRUE,Left,,,,
,,,,,,,,,,,,,,,,
Block,1.5,-2,-8,2,4,1,0,0,0,FALSE,TRUE,Left,,,,
,,,,,,,,,,,,,,,,
Block,-22,-1.5,-5,5,5,1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-7,-1.5,0,1,5,5,0,0,0,TRUE,,,,,,
Block,-7,-1.5,10,1,5,5,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,-8,-2,2,2,4,1,0,0,0,FALSE,TRUE,Left,,,,
